,index,Sold Date,Property Type,Zipcode,Price,Beds,Baths,SQFT,Lot Size,Year Built,Price per SQFT,HOA,Latitude,Longitude,Mobile/Manufactured Home,Multi-Family (2-4 Unit),Multi-Family (5+ Unit),Single Family Residential,Townhouse
0,0,2019-05-24,Single Family Residential,95116,808000.0,4.0,2.0,1263.0,5012.0,1960.0,639.7466349960412,0.0,37.3444778,-121.8425837,0,0,0,1,0
1,1,2020-03-23,Condo/Co-op,95126,623000.0,1.0,1.0,808.0,0.0,1985.0,771.039603960396,290.0,37.3089099,-121.9189367,0,0,0,0,0
2,2,2021-03-11,Condo/Co-op,95131,820000.0,2.0,2.0,1389.0,1224.0,1997.0,590.3527717782578,478.0,37.38691,-121.8879342,0,0,0,0,0
3,3,2019-07-12,Condo/Co-op,95133,527500.0,2.0,2.0,832.0,1039.0,1981.0,634.0144230769231,440.0,37.3835775,-121.8592127,0,0,0,0,0
4,4,2019-10-30,Single Family Residential,95121,875000.0,5.0,3.0,1676.0,6528.0,1979.0,522.0763723150358,0.0,37.3077493,-121.8175377,0,0,0,1,0
5,5,2019-05-13,Single Family Residential,95127,865000.0,3.0,2.0,1075.0,5048.0,1954.0,804.6511627906976,0.0,37.3867665,-121.8359113,0,0,0,1,0
6,7,2020-11-20,Townhouse,95133,850000.0,3.0,2.5,1409.0,670.0,2009.0,603.264726756565,260.0,37.3775344,-121.8500494,0,0,0,0,1
7,8,2019-06-25,Single Family Residential,95128,1300000.0,3.0,2.0,1575.0,10581.0,1952.0,825.3968253968254,0.0,37.308134,-121.9339117,0,0,0,1,0
8,9,2020-04-24,Condo/Co-op,95131,665000.0,2.0,2.0,1040.0,0.0,1989.0,639.4230769230769,568.0,37.40393,-121.88373,0,0,0,0,0
9,10,2020-10-06,Single Family Residential,95132,1275000.0,3.0,2.0,1660.0,12780.0,1964.0,768.0722891566265,0.0,37.3946124,-121.8314182,0,0,0,1,0
10,11,2021-01-29,Condo/Co-op,95054,910000.0,2.0,2.0,1148.0,0.0,2005.0,792.6829268292682,429.0,37.3962698,-121.9427559,0,0,0,0,0
11,12,2019-05-31,Condo/Co-op,95126,975000.0,2.0,2.0,1275.0,21845.0,2008.0,764.7058823529412,467.0,37.3300734,-121.9044474,0,0,0,0,0
12,13,2019-04-29,Condo/Co-op,95134,1015000.0,3.0,2.5,1119.0,0.0,1998.0,907.0598748882932,434.0,37.4144952,-121.9565319,0,0,0,0,0
13,14,2019-07-01,Townhouse,95122,525000.0,2.0,1.5,1056.0,578.0,1985.0,497.15909090909093,470.0,37.318833,-121.841372,0,0,0,0,1
14,15,2020-12-21,Single Family Residential,95148,1150000.0,4.0,3.0,1746.0,4251.0,1992.0,658.6483390607102,0.0,37.3408131,-121.8115533,0,0,0,1,0
15,16,2019-05-07,Single Family Residential,95127,760000.0,3.0,2.0,1241.0,4674.0,1957.0,612.409347300564,0.0,37.3506138,-121.8173152,0,0,0,1,0
16,17,2019-08-16,Townhouse,95132,800000.0,4.0,2.5,1474.0,1055.0,1970.0,542.7408412483039,235.0,37.4127,-121.852216,0,0,0,0,1
17,18,2019-08-02,Condo/Co-op,95112,915000.0,2.0,2.5,1400.0,3277.0,2003.0,653.5714285714286,285.0,37.3501269,-121.8898133,0,0,0,0,0
18,19,2020-12-14,Condo/Co-op,95116,495000.0,2.0,2.0,996.0,0.0,2005.0,496.9879518072289,411.0,37.3574602,-121.8465673,0,0,0,0,0
19,20,2020-12-07,Single Family Residential,95126,1125000.0,2.0,1.0,1199.0,7665.0,1926.0,938.2819015846538,0.0,37.3370378,-121.9290226,0,0,0,1,0
20,21,2020-12-08,Single Family Residential,95116,1050000.0,5.0,2.5,2250.0,2942.0,2006.0,466.6666666666667,117.0,37.337778,-121.8640664,0,0,0,1,0
21,22,2019-12-20,Condo/Co-op,95116,568888.0,3.0,2.0,1344.0,818.0,1998.0,423.2797619047619,340.0,37.354036,-121.845479,0,0,0,0,0
22,23,2020-01-03,Single Family Residential,95125,1415000.0,3.0,2.5,1879.0,4731.0,1990.0,753.0601383714742,0.0,37.3116779,-121.8971939,0,0,0,1,0
23,24,2020-08-10,Single Family Residential,95126,950000.0,2.0,1.0,936.0,3230.0,1938.0,1014.957264957265,0.0,37.3456127,-121.9272447,0,0,0,1,0
24,25,2020-01-30,Townhouse,95126,1094999.0,3.0,3.0,1584.0,735.0,2004.0,691.2872474747475,370.0,37.3276404,-121.9060987,0,0,0,0,1
25,26,2019-05-30,Single Family Residential,95116,760000.0,4.0,2.0,1263.0,5351.0,1960.0,601.7418844022169,0.0,37.3426762,-121.8438292,0,0,0,1,0
26,27,2020-06-25,Single Family Residential,95128,1221250.0,3.0,2.0,1222.0,9095.0,1950.0,999.3862520458265,0.0,37.2991019,-121.9392005,0,0,0,1,0
27,28,2019-06-17,Condo/Co-op,95132,600000.0,2.0,1.0,884.0,1440.0,1971.0,678.7330316742082,230.0,37.413689,-121.854528,0,0,0,0,0
28,29,2019-10-28,Condo/Co-op,95131,1025000.0,3.0,2.5,1790.0,915.0,1993.0,572.6256983240223,299.0,37.3877138,-121.8940869,0,0,0,0,0
29,30,2020-12-15,Single Family Residential,95126,1190000.0,3.0,1.0,1062.0,6528.0,1948.0,1120.527306967985,0.0,37.3270919,-121.9139366,0,0,0,1,0
30,31,2020-08-06,Single Family Residential,95112,1135000.0,3.0,2.5,1655.0,3095.0,1998.0,685.8006042296073,108.0,37.342348,-121.8747388,0,0,0,1,0
31,32,2021-03-26,Condo/Co-op,95110,540000.0,1.0,1.0,655.0,0.0,2008.0,824.4274809160305,505.0,37.3347732,-121.8957045,0,0,0,0,0
32,33,2020-08-10,Townhouse,95125,1020000.0,3.0,3.5,1915.0,1149.0,2003.0,532.6370757180157,331.0,37.3121338,-121.8934815,0,0,0,0,1
33,34,2019-06-20,Single Family Residential,95112,1100000.0,3.0,2.0,1145.0,5782.0,1916.0,960.6986899563319,0.0,37.3503801,-121.881454,0,0,0,1,0
34,35,2019-07-15,Single Family Residential,95148,1998000.0,5.0,4.5,4089.0,6503.0,2004.0,488.62802641232577,0.0,37.3189139,-121.7665161,0,0,0,1,0
35,36,2019-11-06,Condo/Co-op,95132,810088.0,2.0,2.5,1450.0,1300.0,2014.0,558.6813793103448,210.0,37.3916832,-121.8653661,0,0,0,0,0
36,37,2020-02-27,Condo/Co-op,95116,450000.0,1.0,1.0,720.0,0.0,2006.0,625.0,461.0,37.3612789,-121.8451921,0,0,0,0,0
37,38,2019-10-22,Single Family Residential,95148,815000.0,3.0,1.0,1120.0,6443.0,1973.0,727.6785714285714,0.0,37.334519,-121.7920409,0,0,0,1,0
38,39,2019-06-26,Townhouse,95117,988000.0,2.0,2.0,1152.0,1440.0,1972.0,857.6388888888889,260.0,37.300915,-121.960148,0,0,0,0,1
39,40,2020-03-02,Condo/Co-op,95112,805000.0,2.0,2.0,1421.0,0.0,1997.0,566.5024630541872,597.0,37.3346801,-121.8861555,0,0,0,0,0
40,41,2019-07-12,Single Family Residential,95128,1050000.0,3.0,1.0,1134.0,5416.0,1950.0,925.925925925926,0.0,37.3276236,-121.9454668,0,0,0,1,0
41,42,2019-07-24,Single Family Residential,95130,1260000.0,3.0,2.0,1766.0,10466.0,1949.0,713.4767836919592,0.0,37.2997571,-121.9763929,0,0,0,1,0
42,43,2020-10-05,Condo/Co-op,95112,640000.0,2.0,2.5,979.0,0.0,1983.0,653.7282941777324,200.0,37.3494515,-121.8965715,0,0,0,0,0
43,44,2020-03-18,Condo/Co-op,95128,865000.0,2.0,2.0,986.0,0.0,2005.0,877.2819472616633,295.0,37.312686,-121.9504662,0,0,0,0,0
44,45,2020-08-24,Townhouse,95125,950000.0,3.0,2.5,1551.0,2354.0,1979.0,612.50805931657,410.0,37.305566,-121.891968,0,0,0,0,1
45,46,2020-06-29,Single Family Residential,95148,890000.0,3.0,2.0,1310.0,8161.0,1971.0,679.3893129770993,0.0,37.3134561,-121.799962,0,0,0,1,0
46,47,2021-04-08,Condo/Co-op,95116,470000.0,2.0,1.0,704.0,1875.0,1983.0,667.6136363636364,336.0,37.356602,-121.851412,0,0,0,0,0
47,48,2021-01-15,Single Family Residential,95112,955000.0,2.0,2.0,1010.0,5958.0,1919.0,945.5445544554456,0.0,37.3473119,-121.8758956,0,0,0,1,0
48,49,2020-05-15,Single Family Residential,95126,950000.0,2.0,2.0,1098.0,3649.0,1924.0,865.2094717668488,0.0,37.3458757,-121.9272447,0,0,0,1,0
49,50,2019-05-09,Single Family Residential,95128,1135000.0,2.0,2.0,1423.0,9441.0,1953.0,797.610681658468,0.0,37.3247416,-121.9381783,0,0,0,1,0
50,51,2020-12-08,Condo/Co-op,95125,638000.0,2.0,2.0,1071.0,0.0,1984.0,595.7049486461251,385.0,37.308432,-121.885679,0,0,0,0,0
51,52,2019-08-09,Single Family Residential,95122,750000.0,3.0,2.0,1040.0,5483.0,1959.0,721.1538461538462,0.0,37.3345122,-121.8349326,0,0,0,1,0
52,53,2020-05-06,Single Family Residential,95148,935000.0,4.0,2.0,1554.0,6486.0,1970.0,601.6731016731017,0.0,37.3220928,-121.805235,0,0,0,1,0
53,54,2021-02-26,Condo/Co-op,95110,687000.0,2.0,2.0,1133.0,1133.0,2005.0,606.3548102383054,490.0,37.3640995,-121.9133706,0,0,0,0,0
54,55,2019-10-25,Single Family Residential,95112,1150000.0,3.0,1.0,1336.0,9800.0,1901.0,860.7784431137725,0.0,37.3554024,-121.8814985,0,0,0,1,0
55,56,2020-12-30,Condo/Co-op,95121,700000.0,2.0,2.0,843.0,0.0,1988.0,830.367734282325,285.0,37.298495,-121.773756,0,0,0,0,0
56,57,2019-08-05,Condo/Co-op,95127,485000.0,3.0,1.5,960.0,449.0,1964.0,505.2083333333333,470.0,37.3622286,-121.8294425,0,0,0,0,0
57,58,2020-08-18,Single Family Residential,95125,2200000.0,4.0,3.5,2992.0,8100.0,2017.0,735.2941176470588,0.0,37.3167545,-121.8943707,0,0,0,1,0
58,59,2021-02-09,Single Family Residential,95126,1250000.0,3.0,2.0,1518.0,3608.0,1978.0,823.4519104084321,0.0,37.3067365,-121.918666,0,0,0,1,0
59,60,2021-03-16,Single Family Residential,95128,1450000.0,4.0,2.0,1634.0,6578.0,1947.0,887.3929008567932,0.0,37.3196214,-121.9373339,0,0,0,1,0
60,61,2020-11-23,Townhouse,95128,805000.0,2.0,2.5,1860.0,748.0,2003.0,432.7956989247312,445.0,37.3007413,-121.929944,0,0,0,0,1
61,62,2019-07-31,Single Family Residential,95112,711500.0,2.0,1.0,1021.0,6269.0,1948.0,696.8658178256611,0.0,37.3517273,-121.8755843,0,0,0,1,0
62,63,2021-01-21,Condo/Co-op,95112,620000.0,2.0,2.0,1100.0,0.0,2005.0,563.6363636363636,590.0,37.322044,-121.8761187,0,0,0,0,0
63,64,2020-04-08,Single Family Residential,95121,700000.0,4.0,1.5,1265.0,5198.0,1963.0,553.3596837944664,0.0,37.3159862,-121.8219423,0,0,0,1,0
64,65,2019-04-30,Condo/Co-op,95110,800000.0,2.0,2.0,1162.0,1077.0,2005.0,688.4681583476764,489.0,37.3632772,-121.9147088,0,0,0,0,0
65,66,2019-06-03,Condo/Co-op,95133,1025000.0,3.0,3.5,1697.0,740.0,2012.0,604.0070713022982,182.0,37.3799277,-121.863815,0,0,0,0,0
66,67,2019-05-10,Single Family Residential,95121,900000.0,3.0,2.0,1579.0,6035.0,1976.0,569.9810006333122,0.0,37.3141152,-121.8314627,0,0,0,1,0
67,68,2021-01-12,Townhouse,95134,880000.0,3.0,2.5,1119.0,838.0,1998.0,786.4164432529044,450.0,37.4144952,-121.9565319,0,0,0,0,1
68,69,2020-07-28,Condo/Co-op,95116,635000.0,3.0,2.0,1200.0,0.0,2006.0,529.1666666666666,461.0,37.36166,-121.8447776,0,0,0,0,0
69,70,2019-06-17,Single Family Residential,95126,970000.0,2.0,1.0,776.0,3417.0,1924.0,1250.0,0.0,37.3461303,-121.9270225,0,0,0,1,0
70,71,2020-03-23,Condo/Co-op,95128,825000.0,2.0,2.0,1206.0,0.0,2008.0,684.0796019900497,410.0,37.3113172,-121.9162433,0,0,0,0,0
71,72,2019-08-22,Condo/Co-op,95128,735000.0,2.0,2.0,1193.0,1199.0,2009.0,616.0938809723386,401.0,37.3113172,-121.9162433,0,0,0,0,0
72,73,2021-03-10,Single Family Residential,95110,1000000.0,3.0,1.0,1230.0,5065.0,1947.0,813.0081300813008,0.0,37.3615041,-121.9118647,0,0,0,1,0
73,74,2019-07-29,Condo/Co-op,95117,815000.0,2.0,2.5,1117.0,579.0,1985.0,729.632945389436,347.0,37.320858,-121.963598,0,0,0,0,0
74,75,2020-08-05,Condo/Co-op,95110,550000.0,2.0,1.0,870.0,0.0,1988.0,632.183908045977,210.0,37.31195,-121.880794,0,0,0,0,0
75,76,2020-12-16,Condo/Co-op,95133,490000.0,1.0,1.0,720.0,0.0,1985.0,680.5555555555555,294.0,37.3748304,-121.8511684,0,0,0,0,0
76,77,2021-04-09,Condo/Co-op,95035,1050000.0,3.0,3.0,1512.0,0.0,2014.0,694.4444444444445,270.0,37.4045186,-121.8982503,0,0,0,0,0
77,78,2019-07-29,Single Family Residential,95122,750000.0,3.0,2.0,1040.0,4900.0,1959.0,721.1538461538462,0.0,37.3304761,-121.8406265,0,0,0,1,0
78,79,2021-03-02,Condo/Co-op,95110,749000.0,2.0,2.0,1242.0,0.0,1991.0,603.0595813204509,521.0,37.344381454,-121.9005685,0,0,0,0,0
79,80,2020-07-29,Townhouse,95122,520000.0,2.0,2.0,912.0,935.0,1984.0,570.1754385964912,320.0,37.316442,-121.838137,0,0,0,0,1
80,81,2020-10-28,Single Family Residential,95050,1000000.0,3.0,1.0,1092.0,5314.0,1948.0,915.7509157509157,0.0,37.3379046,-121.9428892,0,0,0,1,0
81,82,2019-11-26,Townhouse,95035,935000.0,3.0,3.0,1709.0,510.0,2015.0,547.1035693387946,318.0,37.4046655,-121.8927307,0,0,0,0,1
82,83,2021-02-04,Single Family Residential,95127,1000000.0,3.0,2.5,1455.0,6297.0,1961.0,687.2852233676975,0.0,37.350341,-121.8035218,0,0,0,1,0
83,84,2019-11-11,Condo/Co-op,95122,580000.0,2.0,2.5,1098.0,1336.0,1991.0,528.2331511839709,165.0,37.3295839,-121.855013,0,0,0,0,0
84,85,2020-12-08,Condo/Co-op,95131,535000.0,2.0,2.0,976.0,0.0,1986.0,548.155737704918,497.0,37.391737,-121.871943,0,0,0,0,0
85,86,2020-11-25,Condo/Co-op,95131,675000.0,2.0,2.0,988.0,0.0,1987.0,683.1983805668016,414.0,37.381223,-121.885588,0,0,0,0,0
86,87,2020-11-05,Single Family Residential,95132,1380006.0,3.0,2.0,1742.0,6335.0,1971.0,792.1963260619978,0.0,37.4062434,-121.8590408,0,0,0,1,0
87,88,2021-04-21,Single Family Residential,95133,1100000.0,4.0,2.5,1544.0,2813.0,1983.0,712.4352331606218,115.0,37.368661,-121.86715,0,0,0,1,0
88,89,2019-11-08,Single Family Residential,95112,980000.0,3.0,2.5,1768.0,3234.0,1998.0,554.2986425339367,108.0,37.3425983,-121.8749363,0,0,0,1,0
89,90,2020-03-18,Single Family Residential,95117,1635000.0,4.0,3.0,2199.0,6163.0,1962.0,743.5197817189631,0.0,37.3068577,-121.9612864,0,0,0,1,0
90,91,2020-07-09,Single Family Residential,95148,800000.0,3.0,2.5,1376.0,3360.0,1984.0,581.3953488372093,120.0,37.340297,-121.819251,0,0,0,1,0
91,92,2019-11-25,Single Family Residential,95112,778000.0,2.0,1.0,994.0,6894.0,1949.0,782.6961770623742,0.0,37.3572039,-121.8972829,0,0,0,1,0
92,93,2020-12-07,Townhouse,95133,840000.0,3.0,3.0,1522.0,1129.0,2009.0,551.9053876478318,260.0,37.377653,-121.850218,0,0,0,0,1
93,94,2019-06-25,Single Family Residential,95130,1380000.0,4.0,2.0,1502.0,6405.0,1959.0,918.7749667110519,0.0,37.2988577,-121.9696397,0,0,0,1,0
94,95,2020-09-14,Single Family Residential,95148,805000.0,3.0,2.5,1336.0,2704.0,1984.0,602.5449101796407,120.0,37.340565,-121.818241,0,0,0,1,0
95,96,2020-11-06,Single Family Residential,95127,950000.0,4.0,2.0,1655.0,6011.0,1959.0,574.0181268882175,0.0,37.3635007,-121.812065,0,0,0,1,0
96,97,2020-03-26,Townhouse,95128,900000.0,2.0,2.5,1860.0,1600.0,2002.0,483.8709677419355,445.0,37.3009781,-121.9292387,0,0,0,0,1
97,99,2019-07-03,Single Family Residential,95128,1241000.0,3.0,1.0,1134.0,7613.0,1949.0,1094.3562610229276,0.0,37.3343453,-121.9423559,0,0,0,1,0
98,100,2020-11-23,Townhouse,95133,650000.0,3.0,1.5,1199.0,1513.0,1976.0,542.1184320266889,486.0,37.374543,-121.858486,0,0,0,0,1
99,101,2020-12-29,Single Family Residential,95054,1350000.0,3.0,2.0,1457.0,6860.0,1966.0,926.5614275909403,0.0,37.3944986,-121.941156,0,0,0,1,0
100,102,2021-01-27,Single Family Residential,95050,1707000.0,4.0,2.0,1945.0,6151.0,1954.0,877.6349614395887,0.0,37.3314271,-121.9556209,0,0,0,1,0
101,103,2020-06-26,Condo/Co-op,95112,830000.0,3.0,3.0,1404.0,0.0,2005.0,591.1680911680912,200.0,37.356611,-121.894471,0,0,0,0,0
102,104,2020-08-10,Townhouse,95116,655000.0,4.0,2.5,1344.0,1379.0,1998.0,487.3511904761905,360.0,37.3541591,-121.8453082,0,0,0,0,1
103,105,2019-11-08,Condo/Co-op,95113,555000.0,0.0,1.0,673.0,4180.0,2008.0,824.665676077266,718.0,37.3348501,-121.8870618,0,0,0,0,0
104,106,2021-01-20,Single Family Residential,95127,860000.0,3.0,2.0,1194.0,5892.0,1979.0,720.2680067001675,0.0,37.3553837,-121.8239888,0,0,0,1,0
105,107,2021-01-27,Townhouse,95112,880000.0,2.0,2.5,1280.0,6824.0,2003.0,687.5,299.0,37.350132,-121.889829,0,0,0,0,1
