SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-24-2019,Single Family Residential,902 Mccreery Ave,SAN JOSE,CA,95116,808000,4,2.0,SAN JOSE,1263,5012,1960,701,640,,Sold,,,http://www.redfin.com/CA/San-Jose/902-McCreery-Ave-95116/home/1219124,MLSListings,ML81747523,N,Y,37.3444778,-121.8425837
PAST SALE,March-23-2020,Condo/Co-op,906 La Barbera Dr,SAN JOSE,CA,95126,623000,1,1.0,SAN JOSE,808,,1985,397,771,290,Sold,,,http://www.redfin.com/CA/San-Jose/906-La-Barbera-Dr-95126/home/1497550,MLSListings,ML81783575,N,Y,37.3089099,-121.9189367
PAST SALE,March-11-2021,Condo/Co-op,318 Morning Star Dr,San Jose,CA,95131,820000,2,2.0,North Valley,1389,1224,1997,44,590,478,Sold,,,http://www.redfin.com/CA/San-Jose/318-Morning-Star-Dr-95131/home/1276674,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40935027,N,Y,37.38691,-121.8879342
PAST SALE,July-12-2019,Condo/Co-op,1055 N Capitol Ave #75,SAN JOSE,CA,95133,527500,2,2.0,SAN JOSE,832,1039,1981,652,634,440,Sold,,,http://www.redfin.com/CA/San-Jose/1055-N-Capitol-Ave-95133/unit-75/home/1685878,MLSListings,ML81756552,N,Y,37.3835775,-121.8592127
PAST SALE,October-30-2019,Single Family Residential,2986 Stanhope Dr,SAN JOSE,CA,95121,875000,5,3.0,SAN JOSE,1676,6528,1979,542,522,,Sold,,,http://www.redfin.com/CA/San-Jose/2986-Stanhope-Dr-95121/home/891668,MLSListings,ML81766592,N,Y,37.3077493,-121.8175377
PAST SALE,May-13-2019,Single Family Residential,3351 Pepper Tree Ln,SAN JOSE,CA,95127,865000,3,2.0,SAN JOSE,1075,5048,1954,712,805,,Sold,,,http://www.redfin.com/CA/San-Jose/3351-Pepper-Tree-Ln-95127/home/1388569,MLSListings,ML81748500,N,Y,37.3867665,-121.8359113
PAST SALE,,Single Family Residential,5525 Ora St,San Jose,CA,95129,2150000,5,3.0,,2112,7028,1964,,1018,,,,,http://www.redfin.com/CA/San-Jose/5525-Ora-St-95129/home/692960,,,N,Y,37.3056164,-122.0001148
PAST SALE,November-20-2020,Townhouse,660 N Capitol Ave,SAN JOSE,CA,95133,850000,3,2.5,SAN JOSE,1409,670,2009,155,603,260,Sold,,,http://www.redfin.com/CA/San-Jose/660-N-Capitol-Ave-95133/home/23049283,MLSListings,ML81811905,N,Y,37.3775344,-121.8500494
PAST SALE,June-25-2019,Single Family Residential,2290 Lindaire Ave,SAN JOSE,CA,95128,1300000,3,2.0,SAN JOSE,1575,10581,1952,669,825,,Sold,,,http://www.redfin.com/CA/San-Jose/2290-Lindaire-Ave-95128/home/1593963,MLSListings,ML81754863,N,Y,37.308134,-121.9339117
PAST SALE,April-24-2020,Condo/Co-op,2523 Alveswood Cir,SAN JOSE,CA,95131,665000,2,2.0,SAN JOSE,1040,,1989,365,639,568,Sold,,,http://www.redfin.com/CA/San-Jose/2523-Alveswood-Cir-95131/home/1279147,MLSListings,ML81786403,N,Y,37.40393,-121.88373
PAST SALE,October-6-2020,Single Family Residential,3578 El Grande Dr,SAN JOSE,CA,95132,1275000,3,2.0,SAN JOSE,1660,12780,1964,200,768,,Sold,,,http://www.redfin.com/CA/San-Jose/3578-El-Grande-Dr-95132/home/987897,MLSListings,ML81808028,N,Y,37.3946124,-121.8314182
PAST SALE,January-29-2021,Condo/Co-op,3901 Lick Mill Blvd #220,SANTA CLARA,CA,95054,910000,2,2.0,SANTA CLARA,1148,,2005,85,793,429,Sold,,,http://www.redfin.com/CA/Santa-Clara/3901-Lick-Mill-Blvd-95054/unit-220/home/12177831,MLSListings,ML81818268,N,Y,37.3962698,-121.9427559
PAST SALE,May-31-2019,Condo/Co-op,88 Bush St #4198,SAN JOSE,CA,95126,975000,2,2.0,SAN JOSE,1275,21845,2008,694,765,467,Sold,,,http://www.redfin.com/CA/San-Jose/88-Bush-St-95126/unit-4198/home/17290934,MLSListings,ML81740652,N,Y,37.3300734,-121.9044474
PAST SALE,April-29-2019,Condo/Co-op,4165 Renaissance Dr #6,SAN JOSE,CA,95134,1015000,3,2.5,SAN JOSE,1119,,1998,726,907,434,Sold,,,http://www.redfin.com/CA/San-Jose/4165-Renaissance-Dr-95134/unit-6/home/1379546,MLSListings,ML81743450,N,Y,37.4144952,-121.9565319
PAST SALE,July-1-2019,Townhouse,2220 Summereve Ct,SAN JOSE,CA,95122,525000,2,1.5,SAN JOSE,1056,578,1985,663,497,470,Sold,,,http://www.redfin.com/CA/San-Jose/2220-Summereve-Ct-95122/home/878678,MLSListings,ML81752798,N,Y,37.318833,-121.841372
PAST SALE,December-21-2020,Single Family Residential,2195 Cunningham Ct,SAN JOSE,CA,95148,1150000,4,3.0,SAN JOSE,1746,4251,1992,124,659,,Sold,,,http://www.redfin.com/CA/San-Jose/2195-Cunningham-Ct-95148/home/1766957,MLSListings,ML81813157,N,Y,37.3408131,-121.8115533
PAST SALE,May-7-2019,Single Family Residential,1320 Zephyr Ct,SAN JOSE,CA,95127,760000,3,2.0,SAN JOSE,1241,4674,1957,718,612,,Sold,,,http://www.redfin.com/CA/San-Jose/1320-Zephyr-Ct-95127/home/1434447,MLSListings,ML81744512,N,Y,37.3506138,-121.8173152
PAST SALE,August-16-2019,Townhouse,1803 Queen Victoria Way,SAN JOSE,CA,95132,800000,4,2.5,SAN JOSE,1474,1055,1970,617,543,235,Sold,,,http://www.redfin.com/CA/San-Jose/1803-Queen-Victoria-Way-95132/home/1503891,MLSListings,ML81753865,N,Y,37.4127,-121.852216
PAST SALE,August-2-2019,Condo/Co-op,565 N 9th St,SAN JOSE,CA,95112,915000,2,2.5,SAN JOSE,1400,3277,2003,631,654,285,Sold,,,http://www.redfin.com/CA/San-Jose/565-N-9th-St-95112/home/1047806,MLSListings,ML81759266,N,Y,37.3501269,-121.8898133
PAST SALE,December-14-2020,Condo/Co-op,2177 Alum Rock Ave #222,SAN JOSE,CA,95116,495000,2,2.0,SAN JOSE,996,,2005,131,497,411,Sold,,,http://www.redfin.com/CA/San-Jose/2177-Alum-Rock-Ave-95116/unit-222/home/2125632,MLSListings,ML81810320,N,Y,37.3574602,-121.8465673
PAST SALE,December-7-2020,Single Family Residential,1466 Burrell Ct,SAN JOSE,CA,95126,1125000,2,1.0,SAN JOSE,1199,7665,1926,138,938,,Sold,,,http://www.redfin.com/CA/San-Jose/1466-Burrell-Ct-95126/home/1836690,MLSListings,ML81815321,N,Y,37.3370378,-121.9290226
PAST SALE,December-8-2020,Single Family Residential,549 S 22nd St,SAN JOSE,CA,95116,1050000,5,2.5,SAN JOSE,2250,2942,2006,137,467,117,Sold,,,http://www.redfin.com/CA/San-Jose/549-S-22nd-St-95116/home/12181965,MLSListings,ML81816846,N,Y,37.337778,-121.8640664
PAST SALE,December-20-2019,Condo/Co-op,2035 E San Antonio St,SAN JOSE,CA,95116,568888,3,2.0,SAN JOSE,1344,818,1998,491,423,340,Sold,,,http://www.redfin.com/CA/San-Jose/2035-E-San-Antonio-St-95116/home/1372961,MLSListings,ML81762694,N,Y,37.354036,-121.845479
PAST SALE,January-3-2020,Single Family Residential,1077 Bird Ave,SAN JOSE,CA,95125,1415000,3,2.5,SAN JOSE,1879,4731,1990,477,753,,Sold,,,http://www.redfin.com/CA/San-Jose/1077-Bird-Ave-95125/home/1416120,MLSListings,ML81775548,N,Y,37.3116779,-121.8971939
PAST SALE,August-10-2020,Single Family Residential,1128 Delno Ave,SAN JOSE,CA,95126,950000,2,1.0,SAN JOSE,936,3230,1938,257,1015,,Sold,,,http://www.redfin.com/CA/San-Jose/1128-Delno-Ave-95126/home/1095022,MLSListings,ML81797969,N,Y,37.3456127,-121.9272447
PAST SALE,January-30-2020,Townhouse,152 Sunol St,SAN JOSE,CA,95126,1094999,3,3.0,SAN JOSE,1584,735,2004,450,691,370,Sold,,,http://www.redfin.com/CA/San-Jose/152-Sunol-St-95126/home/1811227,MLSListings,ML81776054,N,Y,37.3276404,-121.9060987
PAST SALE,May-30-2019,Single Family Residential,937 Thackeray Ln,SAN JOSE,CA,95116,760000,4,2.0,SAN JOSE,1263,5351,1960,695,602,,Sold,,,http://www.redfin.com/CA/San-Jose/937-Thackeray-Ln-95116/home/882546,MLSListings,ML81745530,N,Y,37.3426762,-121.8438292
PAST SALE,June-25-2020,Single Family Residential,410 Pamlar Ave,SAN JOSE,CA,95128,1221250,3,2.0,SAN JOSE,1222,9095,1950,303,999,,Sold,,,http://www.redfin.com/CA/San-Jose/410-Pamlar-Ave-95128/home/725358,MLSListings,ML81792879,N,Y,37.2991019,-121.9392005
PAST SALE,June-17-2019,Condo/Co-op,1888 Piedmont Rd,SAN JOSE,CA,95132,600000,2,1.0,SAN JOSE,884,1440,1971,677,679,230,Sold,,,http://www.redfin.com/CA/San-Jose/1888-Piedmont-Rd-95132/home/934826,MLSListings,ML81737666,N,Y,37.413689,-121.854528
PAST SALE,October-28-2019,Condo/Co-op,1350 Tea Rose Cir,SAN JOSE,CA,95131,1025000,3,2.5,SAN JOSE,1790,915,1993,544,573,299,Sold,,,http://www.redfin.com/CA/San-Jose/1350-Tea-Rose-Cir-95131/home/1629734,MLSListings,ML81770127,N,Y,37.3877138,-121.8940869
PAST SALE,December-15-2020,Single Family Residential,1333 Mariposa Ave,SAN JOSE,CA,95126,1190000,3,1.0,SAN JOSE,1062,6528,1948,130,1121,,Sold,,,http://www.redfin.com/CA/San-Jose/1333-Mariposa-Ave-95126/home/1256632,MLSListings,ML81819928,N,Y,37.3270919,-121.9139366
PAST SALE,August-6-2020,Single Family Residential,51 S 16th St,SAN JOSE,CA,95112,1135000,3,2.5,SAN JOSE,1655,3095,1998,261,686,108,Sold,,,http://www.redfin.com/CA/San-Jose/51-S-16th-St-95112/home/1252941,MLSListings,ML81799099,N,Y,37.342348,-121.8747388
PAST SALE,March-26-2021,Condo/Co-op,38 N Almaden Blvd #402,SAN JOSE,CA,95110,540000,1,1.0,SAN JOSE,655,,2008,29,824,505,Sold,,,http://www.redfin.com/CA/San-Jose/38-N-Almaden-Blvd-95110/unit-402/home/17291055,MLSListings,ML81811002,N,Y,37.3347732,-121.8957045
PAST SALE,August-10-2020,Townhouse,686 Willow St,SAN JOSE,CA,95125,1020000,3,3.5,SAN JOSE,1915,1149,2003,257,533,331,Sold,,,http://www.redfin.com/CA/San-Jose/686-Willow-St-95125/home/1465457,MLSListings,ML81800535,N,Y,37.3121338,-121.8934815
PAST SALE,June-20-2019,Single Family Residential,432 N 15th St,SAN JOSE,CA,95112,1100000,3,2.0,SAN JOSE,1145,5782,1916,674,961,,Sold,,,http://www.redfin.com/CA/San-Jose/432-N-15th-St-95112/home/1104133,MLSListings,ML81753069,N,Y,37.3503801,-121.881454
PAST SALE,July-15-2019,Single Family Residential,3559 Corsica Ct,SAN JOSE,CA,95148,1998000,5,4.5,SAN JOSE,4089,6503,2004,649,489,,Sold,,,http://www.redfin.com/CA/San-Jose/3559-Corsica-Ct-95148/home/1050237,MLSListings,ML81752090,N,Y,37.3189139,-121.7665161
PAST SALE,November-6-2019,Condo/Co-op,1302 N Capitol Ave #2,SAN JOSE,CA,95132,810088,2,2.5,SAN JOSE,1450,1300,2014,535,559,210,Sold,,,http://www.redfin.com/CA/San-Jose/1302-N-Capitol-Ave-95132/unit-2/home/95955751,MLSListings,ML81769378,N,Y,37.3916832,-121.8653661
PAST SALE,February-27-2020,Condo/Co-op,88 N Jackson Ave #515,SAN JOSE,CA,95116,450000,1,1.0,SAN JOSE,720,,2006,422,625,461,Sold,,,http://www.redfin.com/CA/San-Jose/88-N-Jackson-Ave-95116/unit-515/home/17288840,MLSListings,ML81780796,N,Y,37.3612789,-121.8451921
PAST SALE,October-22-2019,Single Family Residential,2681 Flintwood Ct,SAN JOSE,CA,95148,815000,3,1.0,SAN JOSE,1120,6443,1973,550,728,,Sold,,,http://www.redfin.com/CA/San-Jose/2681-Flintwood-Ct-95148/home/1298765,MLSListings,ML81753377,N,Y,37.334519,-121.7920409
