SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-28-2019,Townhouse,5483 Entrada Cedros,SAN JOSE,CA,95123,520000,2,1.0,SAN JOSE,884,1371,1970,666,588,236,Sold,,,http://www.redfin.com/CA/San-Jose/5483-Entrada-Cedros-95123/home/1467893,MLSListings,ML81751001,N,Y,37.253696,-121.836043
PAST SALE,March-26-2020,Townhouse,1472 Alegria Loop,SAN JOSE,CA,95128,900000,2,2.5,SAN JOSE,1860,1600,2002,394,484,445,Sold,,,http://www.redfin.com/CA/San-Jose/1472-Alegria-Loop-95128/home/1572896,MLSListings,ML81783149,N,Y,37.3009781,-121.9292387
PAST SALE,October-19-2020,Single Family Residential,1115 Pascoe Ave,SAN JOSE,CA,95125,1200000,3,2.0,SAN JOSE,1408,5950,1952,187,852,,Sold,,,http://www.redfin.com/CA/San-Jose/1115-Pascoe-Ave-95125/home/1143056,MLSListings,ML81807173,N,Y,37.2891075,-121.8879459
PAST SALE,June-12-2020,Condo/Co-op,294 Tradewinds Dr #6,SAN JOSE,CA,95123,515000,2,1.0,SAN JOSE,959,,1970,316,537,439,Sold,,,http://www.redfin.com/CA/San-Jose/294-Tradewinds-Dr-95123/unit-6/home/1436933,MLSListings,ML81788991,N,Y,37.2524945,-121.827998
PAST SALE,October-24-2019,Single Family Residential,372 Avenida Manzanos,SAN JOSE,CA,95123,930000,3,2.0,SAN JOSE,1283,7035,1971,548,725,,Sold,,,http://www.redfin.com/CA/San-Jose/372-Avenida-Manzanos-95123/home/1769153,MLSListings,ML81767703,N,Y,37.2575528,-121.837913
PAST SALE,May-14-2019,Single Family Residential,429 Skipstone Ct,SAN JOSE,CA,95136,1088000,4,2.5,SAN JOSE,1853,3549,1995,711,587,210,Sold,,,http://www.redfin.com/CA/San-Jose/429-Skipstone-Ct-95136/home/866862,MLSListings,ML81744698,N,Y,37.2774712,-121.8532144
PAST SALE,October-13-2020,Condo/Co-op,1104 Cedar Gables Dr,SAN JOSE,CA,95118,560000,2,2.0,SAN JOSE,845,,1985,193,663,450,Sold,,,http://www.redfin.com/CA/San-Jose/1104-Cedar-Gables-Dr-95118/home/1132112,MLSListings,ML81809745,N,Y,37.261385,-121.877823
PAST SALE,December-10-2020,Condo/Co-op,5563 Russo Dr,SAN JOSE,CA,95118,609000,2,2.0,SAN JOSE,1020,,1982,135,597,370,Sold,,,http://www.redfin.com/CA/San-Jose/5563-Russo-Dr-95118/home/921913,MLSListings,ML81820696,N,Y,37.25012,-121.879897
PAST SALE,,Condo/Co-op,2808 Paseo Ln,San Jose,CA,95124,1080000,3,3.0,,1956,,2007,,552,,,,,http://www.redfin.com/CA/San-Jose/2808-Paseo-Ln-95124/home/17288928,,,N,Y,37.2725233,-121.907644
PAST SALE,March-18-2021,Single Family Residential,1623 York St,SAN JOSE,CA,95124,1300000,3,2.0,SAN JOSE,1470,5529,1962,37,884,,Sold,,,http://www.redfin.com/CA/San-Jose/1623-York-St-95124/home/1702432,MLSListings,ML81825982,N,Y,37.2672135,-121.9048852
PAST SALE,November-3-2020,Townhouse,212 Rosarno Ct,SAN JOSE,CA,95111,748000,2,2.5,SAN JOSE,1457,908,2015,172,513,249,Sold,,,http://www.redfin.com/CA/San-Jose/212-Rosarno-Ct-95111/home/167457973,MLSListings,ML81810980,N,Y,37.2899246,-121.8534471
PAST SALE,July-24-2019,Single Family Residential,1348 San Tomas Aquino Rd,SAN JOSE,CA,95130,1260000,3,2.0,SAN JOSE,1766,10466,1949,640,713,,Sold,,,http://www.redfin.com/CA/San-Jose/1348-San-Tomas-Aquino-Rd-95130/home/757079,MLSListings,ML81755589,N,Y,37.2997571,-121.9763929
PAST SALE,August-25-2020,Townhouse,4549 Cimarron River Ct,SAN JOSE,CA,95136,770333,3,2.5,SAN JOSE,1441,1626,1973,242,535,440,Sold,,,http://www.redfin.com/CA/San-Jose/4549-Cimarron-River-Ct-95136/home/831879,MLSListings,ML81802449,N,Y,37.2653509,-121.861385
PAST SALE,October-5-2020,Single Family Residential,2951 Wall St,SAN JOSE,CA,95111,800000,3,2.5,SAN JOSE,1808,1480,2006,201,442,122,Sold,,,http://www.redfin.com/CA/San-Jose/2951-Wall-St-95111/home/1655746,MLSListings,ML81804474,N,Y,37.292057,-121.8433
PAST SALE,April-1-2021,Single Family Residential,3617 Safe Haven Ct,SAN JOSE,CA,95111,1028888,5,2.5,SAN JOSE,1768,3191,1998,23,582,,Sold,,,http://www.redfin.com/CA/San-Jose/3617-Safe-Haven-Ct-95111/home/1712239,MLSListings,ML81830962,N,Y,37.2905756,-121.8243892
PAST SALE,September-28-2020,Condo/Co-op,5951 Sunstone Dr #304,SAN JOSE,CA,95123,610000,1,1.0,SAN JOSE,841,,2019,208,725,550,Sold,,,http://www.redfin.com/CA/San-Jose/5951-Sunstone-Dr-95123/unit-304/home/168906981,MLSListings,ML81804848,N,Y,37.2419315,-121.7976177
PAST SALE,December-18-2020,Townhouse,5108 Graves Ave,SAN JOSE,CA,95129,1360000,3,2.5,SAN JOSE,1604,960,2006,127,848,355,Sold,,,http://www.redfin.com/CA/San-Jose/5108-Graves-Ave-95129/home/2124130,MLSListings,ML81819734,N,Y,37.2941498,-121.9912753
PAST SALE,April-15-2020,Single Family Residential,1940 Dry Creek Rd,SAN JOSE,CA,95124,2470000,3,3.0,SAN JOSE,3030,20980,1964,374,815,,Sold,,,http://www.redfin.com/CA/San-Jose/1940-Dry-Creek-Rd-95124/home/1710841,MLSListings,ML81789539,N,Y,37.2801939,-121.9294893
PAST SALE,May-24-2019,Single Family Residential,7208 Via Colina,SAN JOSE,CA,95139,1000000,4,2.0,SAN JOSE,2345,6693,1972,701,426,50,Sold,,,http://www.redfin.com/CA/San-Jose/7208-Via-Colina-95139/home/1410031,MLSListings,ML81746574,N,Y,37.2286214,-121.767117
PAST SALE,August-13-2020,Townhouse,5138 Graves Ave,SAN JOSE,CA,95129,1165888,2,2.5,SAN JOSE,1350,834,2005,254,864,355,Sold,,,http://www.redfin.com/CA/San-Jose/5138-Graves-Ave-95129/home/2124120,MLSListings,ML81787236,N,Y,37.2942282,-121.9917639
PAST SALE,March-12-2020,Single Family Residential,307 Fairbanks Ave,CAMPBELL,CA,95008,1651000,3,2.0,CAMPBELL,1850,8547,1955,408,892,,Sold,,,http://www.redfin.com/CA/Campbell/307-Fairbanks-Ave-95008/home/830074,MLSListings,ML81780612,N,Y,37.2662983,-121.9435114
PAST SALE,June-14-2019,Single Family Residential,5884 Santa Teresa Blvd,SAN JOSE,CA,95123,1005000,3,2.0,SAN JOSE,1371,6227,1967,680,733,,Sold,,,http://www.redfin.com/CA/San-Jose/5884-Santa-Teresa-Blvd-95123/home/987419,MLSListings,ML81753209,N,Y,37.2371938,-121.8331087
PAST SALE,December-9-2019,Condo/Co-op,918 Owens Lake Dr,SAN JOSE,CA,95123,590000,2,1.0,SAN JOSE,867,1013,1994,502,681,400,Sold,,,http://www.redfin.com/CA/San-Jose/918-Owens-Lake-Dr-95123/home/1002093,MLSListings,ML81764100,N,Y,37.243474,-121.866575
PAST SALE,September-30-2020,Single Family Residential,530 Ella Dr,SAN JOSE,CA,95111,815888,3,2.0,SAN JOSE,1120,5452,1961,206,728,,Sold,,,http://www.redfin.com/CA/San-Jose/530-Ella-Dr-95111/home/1170635,MLSListings,ML81808170,N,Y,37.2698508,-121.8053462
PAST SALE,June-8-2020,Single Family Residential,5021 Mccoy Ave,SAN JOSE,CA,95130,1525000,3,2.0,SAN JOSE,1578,6008,1959,320,966,,Sold,,,http://www.redfin.com/CA/San-Jose/5021-McCoy-Ave-95130/home/1456763,MLSListings,ML81789811,N,Y,37.2765004,-121.9884766
PAST SALE,March-12-2020,Single Family Residential,1302 Thornbury Ln,SAN JOSE,CA,95138,1406000,4,3.5,SAN JOSE,2612,4452,2004,408,538,390,Sold,,,http://www.redfin.com/CA/San-Jose/1302-Thornbury-Ln-95138/home/1048229,MLSListings,ML81781474,N,Y,37.288836,-121.806351
PAST SALE,August-6-2020,Single Family Residential,5870 Southwind Dr,SAN JOSE,CA,95138,915000,4,2.0,SAN JOSE,1355,5000,1983,261,675,,Sold,,,http://www.redfin.com/CA/San-Jose/5870-Southwind-Dr-95138/home/976255,MLSListings,ML81798836,N,Y,37.243193,-121.7790011
